Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2024-06-24,3643.46142578125,3734.5479614257815,3643.46142578125,3676.5838023792617,303830800
2024-06-25,3626.900390625,3643.4615796232874,3544.0944456335615,3577.216823630137,383572500
2024-06-26,3618.619873046875,3668.3034410978617,3602.058683696546,3635.1810623972037,150303400
2024-06-27,3693.145263671875,3726.2676427182596,3626.9005055791063,3651.7422898638947,299430600
2024-06-28,3809.073486328125,3842.195864470109,3792.5122972571335,3800.7928917926292,581319300
2024-07-01,3833.9150390625,3867.037415209908,3775.9508808045352,3833.9150390625,261421200
2024-07-02,3784.2314453125,3833.9150091459246,3784.2314453125,3817.3538212014496,234403100
2024-07-03,3809.073486328125,3842.195864470109,3775.9511081861415,3833.9152699346128,176310400
2024-07-04,3966.405029296875,3999.5274094997717,3858.7572936374613,3875.3184837389094,422261500
2024-07-05,3974.685302734375,4032.649463399251,3966.4047083536784,4016.088274637858,218278000
2024-07-08,3933.282470703125,3999.5272281044404,3925.0018760279604,3974.685444078947,222042100
2024-07-09,4032.64892578125,4082.3324854417992,3933.2818064601515,3958.123586290426,291320400
2024-07-10,4016.08837890625,4074.052541076031,4007.807784310567,4032.649568097616,167619700
2024-07-11,4007.8076171875,4074.052371190599,4007.8076171875,4065.7717769402116,170461300
2024-07-12,4057.49169921875,4123.736461654975,4040.930508609694,4115.455866350447,301125400
2024-07-15,3991.24658203125,4082.333122285075,3982.9659874627205,4074.0525277165457,188713000
2024-07-16,3916.721435546875,4007.807980559593,3916.721435546875,3991.2467905572803,189271400
2024-07-17,3941.562744140625,3982.965714142102,3908.4403681394433,3933.2821501403296,263325400
2024-07-18,4049.21044921875,4049.21044921875,3933.282133699195,3941.5627276648775,296614900
2024-07-19,4057.49169921875,4065.772294523278,4016.0887226961095,4032.6499133051657,135104800
2024-07-22,4065.77197265625,4090.6137566032335,4040.930188709267,4074.0525673052443,140128300
2024-07-23,3966.405029296875,4065.772169905565,3958.124434246151,4057.491574854841,170919500
2024-07-24,3958.124267578125,3974.6854569822176,3941.5630781740324,3949.843672876079,116037600
2024-07-25,3891.879150390625,3941.5627140126326,3858.7567746426193,3941.5627140126326,274397700
2024-07-26,3941.562744140625,3982.965714142102,3925.001556140034,3941.562744140625,192267300
2024-07-29,3958.124267578125,3974.6854569822176,3941.5630781740324,3974.6854569822176,126109900
2024-07-30,3867.037841796875,3925.0020064490764,3867.037841796875,3908.4408165484474,201835700
2024-07-31,3867.037841796875,3900.160221598133,3850.4766518962456,3850.4766518962456,168490300
2024-08-01,3933.282470703125,3933.282470703125,3883.598902652138,3900.160092002467,169636700
2024-08-02,3900.159912109375,3933.2822892822783,3883.598723522923,3916.721100695827,113328400
2024-08-05,3751.109130859375,3867.0374483693777,3734.54794264366,3858.7568542615204,329430900
2024-08-06,3809.073486328125,3850.4764590056047,3742.828730044158,3767.6705136506457,238051800
2024-08-07,3825.634765625,3842.19595508658,3800.79298143263,3842.19595508658,125937500
2024-08-08,3858.757080078125,3883.5988638554522,3800.792917931029,3809.073512523471,131343400
2024-08-09,3867.037841796875,3916.721411498762,3867.037841796875,3891.8796266478184,98730900
2024-08-12,3875.318603515625,3908.440984742254,3850.476817595653,3908.440984742254,83552800
2024-08-13,3908.440673828125,3933.282457771948,3883.5988898843025,3891.879484532243,109533400
2024-08-14,3991.24658203125,4007.807771168309,3941.563014620073,3949.8436091886024,262716500
2024-08-15,3999.52685546875,4032.649231083398,3966.4044798541017,4016.0880432760737,214394900
2024-08-16,3999.52685546875,4032.649231083398,3999.52685546875,4016.0880432760737,149701700
2024-08-19,3991.24658203125,3991.24658203125,3933.2824200515433,3991.24658203125,196203200
2024-08-20,4098.89404296875,4098.89404296875,4007.8075086805557,4024.3686967329545,310085500
2024-08-21,4223.103515625,4223.103515625,4123.736374080882,4132.016969209559,390307000
2024-08-22,4181.69970703125,4264.505641823948,4160.998223333076,4243.804158125774,474043100
2024-08-23,4264.5068359375,4305.909814927184,4243.8053464426575,4264.5068359375,217759300
2024-08-26,4388.71484375,4409.416328862028,4305.908903301886,4305.908903301886,361169800
2024-08-27,4285.2080078125,4368.013959654288,4223.103543931159,4347.312471693841,271088700
2024-08-28,4264.5068359375,4285.208325432342,4160.999388463289,4223.103856947815,277561700
2024-08-29,4243.8046875,4285.207660060975,4223.103201219512,4243.8046875,160041900
2024-08-30,4264.5068359375,4285.208325432342,4243.8053464426575,4285.208325432342,275298000
2024-09-02,4285.2080078125,4326.610983733393,4264.506519852053,4264.506519852053,136717200
2024-09-03,4285.2080078125,4347.312471693841,4264.506519852053,4326.610983733393,166033900
2024-09-04,4223.103515625,4285.207979090073,4223.103515625,4223.103515625,141890400
2024-09-05,4264.5068359375,4264.5068359375,4202.402367452973,4243.8053464426575,166436800
2024-09-06,4326.6103515625,4347.311836498206,4264.505896755382,4305.908866626794,170520700
2024-09-09,4285.2080078125,4388.715447614734,4264.506519852053,4368.013959654288,201448700
2024-09-10,4347.3125,4347.3125,4243.80505952381,4305.909523809524,202326400
2024-09-11,4285.2080078125,4347.312471693841,4243.805031891607,4326.610983733393,165284900
2024-09-12,4285.2080078125,4326.610983733393,4264.506519852053,4285.2080078125,138542100
2024-09-13,4388.71484375,4388.71484375,4285.207418189858,4305.908903301886,259722600
